D:\topograf\tarim-IVAN2.dwg,Model,24/02/2005 10:06:18 a.,Comunidad,HP DesignJet 450C (E/A0) by HP,ISO A0 - 841 x 1189 mm.,1:1,
D:\dd2\topograf\la purisima-ALVARO OBREGON-imss.dwg,Model,11/11/2008 06:58:21 p.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\imss\clinicas pequeña propiedad\devanador-zitzio-imss.dwg,Model,11/11/2008 07:30:57 p.m.,x,HP Deskjet D2300 series,Carta,1:1632.76,
D:\dd2\imss\ejidos sin completar\08000701-jose maria morelos-senguio.dwg,Model,11/11/2008 09:00:18 p.m.,x,HP Deskjet D2300 series,Carta,1:1088.5,
D:\imss\clinicas ejido y comunidad\20NOVIEMBRE-COAHUAYANA-IMSS.dwg,Model,12/11/2008 07:12:15 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\imss\clinicas ejido y comunidad\00200901-MESA DE LOBOS-Aguililla.dwg,Model,12/11/2008 08:45:02 p.m.,x,HP Deskjet D2300 series,Carta,1:1632.76,
D:\dd1\topograf\imss\cañada de buenavista-huetamo.dwg,Model,13/11/2008 01:54:39 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\dd1\topograf\imss\cañada de buenavista-huetamo.dwg,Model,13/11/2008 02:17:15 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\imss\ejidos sin completar\MONTE GRANDE-SAN LUCAS geo imss.dwg,Model,13/11/2008 02:55:45 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
F:\cabaña.dwg,Model,13/11/2008 03:11:43 p.m.,x,HP Deskjet D2300 series,Carta,1:2.11491,
D:\dd2\imss\ejidos sin completar\LA CARRERITA-CARACUARO-IMSS GEO.dwg,Model,13/11/2008 03:42:54 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\imss\ejidos sin completar\soledad grande tuzantla GEO.dwg,Model,13/11/2008 04:14:19 p.m.,x,HP Deskjet D2300 series,Carta,1:1088.5,
D:\imss\ejidos sin completar\06100201-laguna verde-ocampo geo.dwg,Model,13/11/2008 04:37:58 p.m.,x,HP Deskjet D2300 series,Carta,1:544.252,
D:\imss\ejidos sin completar\donaciano ojeda- zitacuaro GEO.dwg,Model,13/11/2008 04:51:22 p.m.,x,HP Deskjet D2300 series,Carta,1:1088.5,
D:\dd2\imss\clinicas ejido y comunidad\tirindaro-zacapu.dwg,Model,14/11/2008 02:22:35 p.m.,x,HP Deskjet D2300 series,Carta,1:789.165,
D:\imss\clinicas ejido y comunidad\san antonio Guaracha-VILLAMAR.dwg,Model,14/11/2008 02:30:48 p.m.,x,HP Deskjet D2300 series,Carta,1:28.6551,
D:\imss\clinicas ejido y comunidad\san antonio Guaracha-VILLAMAR.dwg,Model,14/11/2008 02:33:43 p.m.,x,HP Deskjet D2300 series,Carta,1:28.6551,
D:\imss\clinicas ejido y comunidad\san antonio Guaracha-VILLAMAR.dwg,Model,14/11/2008 02:58:11 p.m.,x,HP Deskjet D2300 series,Carta,1:28.6551,
D:\imss\clinicas ejido y comunidad\SAN BARTOLO-CIUDAD HIDALGO.dwg,Model,18/11/2008 09:22:23 p.m.,x,HP Deskjet D2300 series,Oficio,1:761.953,
D:\imss\clinicas ejido y comunidad\LA TICLa-AQUILA-imss.dwg,Model,18/11/2008 09:22:42 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\imss\clinicas ejido y comunidad\SANTA MARIA OSTULA-AQUILA-imss.dwg,Model,18/11/2008 09:23:27 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\dd2\topograf\CUANAJO - IMSS.dwg,Model,18/11/2008 09:23:44 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\dd1\topograf\SANTA FEDELALAGUNA-IMSS.dwg,Model,18/11/2008 09:23:57 p.m.,x,HP Deskjet D2300 series,Oficio,1:166.462,
D:\dd1\topograf\SAN JOSE HUIPANA-IMSS.dwg,Model,18/11/2008 09:24:05 p.m.,x,HP Deskjet D2300 series,Oficio,1:166.462,
D:\dd1\topograf\SAN JOSE HUIPANA-IMSS.dwg,Model,18/11/2008 09:24:19 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\imss\ejidos sin completar\chiquito el grade PURUARAN-TURICATO.dwg,Model,18/11/2008 09:24:36 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\imss\clinicas ejido y comunidad\IHUATZIO-TZINTZUNZAN-IMSS.dwg,Model,18/11/2008 09:24:57 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\dd2\topograf\EJIDOS\HUIZONTLA-IMSS.dwg,Model,18/11/2008 09:25:12 p.m.,x,HP Deskjet D2300 series,Oficio,1:544.252,
D:\imss\clinicas ejido y comunidad\san lorenzo-uruapan-imss.dwg,Model,18/11/2008 09:25:25 p.m.,x,HP Deskjet D2300 series,Oficio,1:1088.5,
D:\dd2\topograf\capturas ejidos\huetamo=huetamo.dwg,Model,19/11/2008 09:25:59 p.m.,x,HP Deskjet D2300 series,Oficio,1:24.0423,
E:\imss\clinicas pequeña propiedad\amatlan.dwg,Model,08/01/2009 10:41:58 a.m.,x,HP Deskjet D2300 series,Oficio,1:21.4272,
E:\imss\clinicas ejido y comunidad\chiquito el grande-turicato.dwg,Model,09/01/2009 09:58:09 a.m.,x,HP Deskjet D2300 series,Oficio,1:21.4272,
E:\imss\clinicas ejido y comunidad\CEIBAS-TRUJILLO-TIQUICHEO-IMSS.dwg,Model,09/01/2009 03:20:17 p.m.,x,HP Deskjet D2300 series,Oficio,1:21.4272,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\LA PLAYA DE GUADALUPE (LA PLAYA)-ARIO DE ROSALES-ejido-imss.dwg,Model,05/03/2009 01:35:10 p.m.,x,900x1100.pc3,Pers. 1:  900  x  1100 mm.,1:2.5,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\LA PLAYA DE GUADALUPE (LA PLAYA)-ARIO DE ROSALES-ejido-imss.dwg,Model,05/03/2009 01:44:35 p.m.,x,900x1100.pc3,Pers. 1:  900  x  1100 mm.,1:2.5,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\la playa clinica-ario de rosales.dwg,Model,05/03/2009 01:59:54 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:1,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\la playa clinica-ario de rosales.dwg,Model,05/03/2009 02:03:37 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:1,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\la playa clinica-ario de rosales.dwg,Model,05/03/2009 02:07:01 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:1,
E:\imss\Clasificacion de clinicas\PLAYA DE GUADALUPE-ARIO DE ROSALES\la playa clinica-ario de rosales.dwg,Model,05/03/2009 02:12:30 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:1,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS-TEPALCATEPEC-IMSS.dwg,Model,05/03/2009 02:17:32 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:0.5,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS Y ANEXOS-TEPALCATEPEC-IMSS.dwg,Model,05/03/2009 04:17:27 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS Y ANEXOS-TEPALCATEPEC-IMSS.dwg,Model,05/03/2009 04:20:45 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS Y ANEXOS-TEPALCATEPEC-IMSS.dwg,Model,05/03/2009 04:25:52 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LOS HABILLOS-TEPALCATEPEC\LOS AVILLOS Y ANEXOS-TEPALCATEPEC-IMSS.dwg,Model,05/03/2009 04:30:47 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LA BOCANDA-TEPALCATEPEC\la tasajeraTUC8-tepalcatepec.dwg,Model,05/03/2009 04:34:00 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LA BOCANDA-TEPALCATEPEC\la tasajeraTUC8-tepalcatepec.dwg,Model,05/03/2009 04:35:47 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\RAZO DE ORGANO-BUENAVISTA\RAZO DEL ORGANO.dwg,Model,05/03/2009 04:55:10 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\RAZO DE ORGANO-BUENAVISTA\RAZO DEL ORGANO.dwg,Model,05/03/2009 04:57:42 p.m.,x,900x1100.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LA BOCANDA-TEPALCATEPEC\LA BOCANDA(LA TASAJERA)-TEPALCATEPEC-imss.dwg,Model,05/03/2009 05:03:18 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:1,
E:\imss\Clasificacion de clinicas\RAZO DE ORGANO-BUENAVISTA\razo dE orgANO-BUENAVISTA-imss.dwg,Model,05/03/2009 05:09:00 p.m.,x,900x1100.pc3,Legal de EE.UU.  (portrait),1:0.5,
E:\imss\Clasificacion de clinicas\SANTIAGO CONGURIPO-HUETAMO\SANTIAGO CONGURIPO-HUETAMO.dwg,Model,10/03/2009 10:36:33 a.m.,x,900x1100.pc3,ANSI A  (portrait),1:933.017,
F:\HUACANA INFIERNILLO.dwg,Model,27/03/2009 02:13:18 p.m.,x,900x600.pc3,ANSI B (portrait),1:536.876,
E:\topograf\terreno ticateme.dwg,Model,06/04/2009 11:50:27 a.m.,x,hp deskjet 5550 series (HPA),Carta,1:29.214,
E:\topograf\terreno ticateme.dwg,Model,06/04/2009 11:58:19 a.m.,x,hp deskjet 5550 series (HPA),Carta,1:28.2206,
E:\respaldos\hd2\topograf\2004-1993\ESTRELLA BLANCAF.DWG,Model,06/04/2009 11:59:11 a.m.,x,hp deskjet 5550 series (HPA),Carta,1:21.6693,
E:\topograf\terreno ticateme.dwg,Model,06/04/2009 12:01:28 p.m.,x,hp deskjet 5550 series (HPA),Carta,1:18.6555,
E:\imss\Clasificacion de clinicas\EL CARRIZAL-JUNGAPEO\carrizal.dwg,Model,07/04/2009 12:51:53 p.m.,x,hp deskjet 5550 series (HPA),Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL CUATRO-VILLAJIMENEZ\CUATRO-PANINDICUARO.dwg,Model,07/04/2009 01:27:32 p.m.,x,hp deskjet 5550 series (HPA),Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SANTA FE DE LA LAGUNA-QUIROGA\SANTA FE DE LA LAGUNA-QUIROGA-IMSS.dwg,Model,07/04/2009 01:59:30 p.m.,x,hp deskjet 5550 series (HPA),Carta,1:544.252,
E:\imss\Clasificacion de clinicas\CUANAJO-PATZCUARO\CUANAJO - IMSS.dwg,Model,07/04/2009 02:05:08 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN BARTOLO CUITAREO-HIDALGO\SAN BARTOLO-CIUDAD HIDALGO.dwg,Model,07/04/2009 02:15:42 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN FELIPE DE LOS ALZATI-ZITACUARO\san felipe de los alzati-ZITACUARO.dwg,Model,07/04/2009 02:16:55 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\SAN FRANCISCO ACACHUEN-CHILCHOTA\acahuen-chilchota.dwg,Model,07/04/2009 02:19:48 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\NURIO-PARACHO\NURIO-PARACHO-IMSS.dwg,Model,07/04/2009 02:22:23 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\URAPICHO-PARACHO\URAPICHO-IMSS.dwg,Model,07/04/2009 02:23:21 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\J JESUS DIAZ SIRIO-LOS REYES\Tzirio- imss (2).dwg,Model,07/04/2009 02:25:44 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\COCUCHO-CHARAPAN\cocucho.dwg,Model,07/04/2009 02:27:34 p.m.,x,hp deskjet 5550 series (HPA).pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN ISIDRO-LOS REYES\san isidro-los reyes.dwg,Model,16/04/2009 10:48:31 a.m.,x,GEO.pc3,Carta,1:25.3078,
E:\imss\Clasificacion de clinicas\SAN ISIDRO-LOS REYES\san isidro-los reyes.dwg,Model,16/04/2009 10:50:21 a.m.,x,GEO.pc3,Carta,1:25.3078,
E:\imss\Clasificacion de clinicas\PAMATACUARO-LOS REYES\PAMATACUARO-LOS REYES.dwg,Model,16/04/2009 01:13:24 p.m.,x,GEO.pc3,Carta,1:25.3078,
E:\imss\Clasificacion de clinicas\TACATZCUARO-TINGUINDIN\09100601-TACATZCUARO-Tingüindín.dwg,Model,16/04/2009 05:22:51 p.m.,x,GEO.pc3,Carta,1:26.7841,
E:\imss\Clasificacion de clinicas\ATAPAN-LOS REYES\ATAPAN-LOS REYES.dwg,Model,16/04/2009 06:11:13 p.m.,x,GEO.pc3,Carta,1:16.8718,
E:\imss\Clasificacion de clinicas\CRECENCIO MORALES-ZITACUARO\crecencio morales-imss.dwg,Model,16/04/2009 06:26:16 p.m.,x,GEO.pc3,Carta,1:42.8545,
E:\imss\Clasificacion de clinicas\CRECENCIO MORALES-ZITACUARO\crecencio morales-imss.dwg,Model,16/04/2009 06:31:18 p.m.,x,GEO.pc3,Carta,1:42.8545,
E:\imss\Clasificacion de clinicas\SANTA CRUZ DE VILLAGOMEZ-SAN LUCAS\SANTA CRUZ DE VILLAGOMEZ-SAN LUCAS-IMSS.dwg,Model,17/04/2009 03:00:59 p.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\SEVINA-NAHATZEN\sevina-nahuatzen.dwg,Model,17/04/2009 06:20:25 p.m.,x,GEO.pc3,Carta,1:48.2113,
E:\imss\Clasificacion de clinicas\PATAMBAN-TANGANCICUARO\patamban-TANGANCICUARO-IMSS.dwg,Model,20/04/2009 10:05:05 a.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\HERIBERTO JARA-ZINAPECUARO\heriberto jara-zinapecuaro.dwg,Model,20/04/2009 10:34:41 a.m.,x,GEO.pc3,Carta,1:21.4272,
E:\imss\Clasificacion de clinicas\TUPATARO-SENGUIO\tupataro-sengio.dwg,Model,20/04/2009 11:42:31 a.m.,x,GEO.pc3,Carta,1:20.7472,
E:\imss\Clasificacion de clinicas\SAN JOSE DE LA CUMBRE-QUERENDARO\san jose de la cumbre-querendaro.dwg,Model,21/04/2009 05:00:54 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\MACHO DE AGUA-ZITACUARO\MACHO DE AGUA-ZITACUARO-IMSS.dwg,Model,24/04/2009 09:07:29 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\SANTA ANA AMATLAN-BUENAVISTA\amatlan.dwg,Model,24/04/2009 09:26:13 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN JOSE DE LA MONTAÑA-COALCOMAN\SAN JOSE DE LA MONTAÑA-COALCOMAN.dwg,Model,24/04/2009 10:04:13 a.m.,x,GEO.pc3,Carta,1:1632.76,
E:\imss\Clasificacion de clinicas\URIPITIO-MARAVATIO\16050031-URIPITIO-Maravatio (2).dwg,Model,24/04/2009 10:29:12 a.m.,x,GEO.pc3,Carta,1:816.378,
C:\Users\x\AppData\Local\Temp\PLANTA ARQ MORELIA estacionamiento.dwg,Model,24/04/2009 01:22:29 p.m.,x,HP Designjet 500 42 by HP.pc3,ANSI B (portrait),1:5.74713,
C:\Users\x\AppData\Local\Temp\PLANTA ARQ MORELIA estacionamiento.dwg,Model,24/04/2009 01:26:24 p.m.,x,HP Designjet 500 42 by HP.pc3,ANSI B (portrait),1:5.74713,
E:\imss\Clasificacion de clinicas\SAN JEROMNIMO PURENCHECUARO-QUIROGA\SAN JERONIMO purenchecuaro-quiroga y san andres zirondaro-quiroga.dwg,Model,24/04/2009 01:50:55 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN JEROMNIMO PURENCHECUARO-QUIROGA\SAN JERONIMO purenchecuaro-quiroga y san andres zirondaro-quiroga.dwg,Model,24/04/2009 02:14:43 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN ANDRES ZIRONDARO-QUIROGA\san andres Zirondaro-Quiroga.dwg,Model,24/04/2009 03:57:39 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\BUENA VISTA TOMATLAN-BUENAVISTA\tomatlan.dwg,Model,25/04/2009 10:46:49 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\CHAUZ-HUACANA\16035006EL CHAUZ-La Huacana.dwg,Model,25/04/2009 01:04:07 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\ZINCIRO-ERONGARICUARO\ZINCIRO - ERONGARICUARO-geo.dwg,Model,27/04/2009 10:04:20 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\ZINCIRO-ERONGARICUARO\ZINCIRO - ERONGARICUARO-geo.dwg,Model,27/04/2009 10:07:01 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\YORICOSTIO (LA VILLITA)-TACAMBARO\yoricostio-imss-TACAMBARO (2).dwg,Model,27/04/2009 11:03:52 a.m.,x,GEO.pc3,Carta,1:1088.5,
E:\imss\Clasificacion de clinicas\UCAREO-ZINAPECUARO\UCAREO-ZINAPECUARO-IMSS.dwg,Model,27/04/2009 11:43:37 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\TZATZIO(LA CAPILLA)-ARIO DE ROSALES\tzatzio-ario-imss.dwg,Model,28/04/2009 01:02:26 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\TUNGUITIRO-COENEO\TUNGUITIRO-COENEO-imss.dwg,Model,28/04/2009 03:36:45 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\TIMBIRICHE-CHURUMUCO\El Timbiriche-Churumuco-geo.dwg,Model,28/04/2009 05:13:31 p.m.,x,GEO.pc3,Carta,1:1088.5,
E:\imss\Clasificacion de clinicas\TICUITACO-LA PIEDAD\ticuitaco-LA PIEDAD imss.dwg,Model,28/04/2009 06:15:32 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\TENDEPARACUA-HUANIQUEO\TENDEPARACUA-CHUCANDIRO-IMSS.dwg,Model,29/04/2009 09:30:15 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\TEHUANTEPEC-CHINICUILA\tehuantepec.dwg,Model,29/04/2009 10:17:31 a.m.,x,GEO.pc3,Carta,1:2177.01,
E:\imss\Clasificacion de clinicas\TEHUANTEPEC-CHINICUILA\tehuantepec.dwg,Model,29/04/2009 10:28:32 a.m.,x,GEO.pc3,Carta,1:2177.01,
E:\imss\Clasificacion de clinicas\TAIXTAN-TEPALCATEPEC\TAIXTAN-APATZINGAN-IMSS.dwg,Model,29/04/2009 12:20:16 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\SANTAS MARIAS-TACAMBARO\santas marias-TACAMBARO-IMSS.dwg,Model,29/04/2009 05:25:26 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SANTANA MARAVATIO-MARAVATIO\SANTANA-MARAVATIO.dwg,Model,29/04/2009 06:18:06 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN ANDRES CORU-SALVADOR ESCALANTE\san andres coru imss.dwg,Model,30/04/2009 11:04:37 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\AGUA VERDE-SALVADOR ESCALANTE\AGUA VERDE IMSS.dwg,Model,30/04/2009 12:22:01 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\COENEO-COENEO\COENEO-coeneo-IMSS.dwg,Model,30/04/2009 04:18:13 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\COPANDARO DE JIMENEZ-VILLA JIMENEZ\COPANDARO-JIMENEZ-geo.dwg,Model,30/04/2009 06:02:24 p.m.,x,GEO.pc3,Carta,1:544.252,
\\PENTIUM1\Documentos c\ranchet D10  3marias.dwg,Model,11/05/2009 09:48:57 a.m.,x,900x650.pc3,Extendido: Arch D (landscape),1:0.3,
\\PENTIUM1\Documentos c\ranchet D10  3marias.dwg,Model,11/05/2009 09:57:04 a.m.,x,900x650.pc3,Extendido: Arch D (landscape),1:0.25,
E:\imss\Clasificacion de clinicas\OCUARO-HUETAMO\Ocuaro - HUETAMO.dwg,Model,11/05/2009 12:34:05 p.m.,x,900x650.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\OCUARO-HUETAMO\Ocuaro - HUETAMO.dwg,Model,11/05/2009 12:37:52 p.m.,x,900x650.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LA CALERA JOSE SIXTO VERDUZCO\la calera.dwg,Model,11/05/2009 02:16:30 p.m.,x,HP Designjet 500 42 by HP.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\LA CALERA JOSE SIXTO VERDUZCO\la calera.dwg,Model,11/05/2009 02:21:48 p.m.,x,HP Designjet 500 42 by HP.pc3,ANSI B (portrait),1:193.305,
E:\imss\Clasificacion de clinicas\SAN ANDRES CORU-SALVADOR ESCALANTE\san andres coru imss.dwg,Model,12/05/2009 10:27:15 a.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\LA COYOTA LOPEZ RAYON-ZITACUARO\LA COYOTA-ZITACUARO-IMSS.dwg,Model,12/05/2009 04:46:48 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\SAN JUAN NUEVO-PARANGARICUTIRO\san juan nuevo imss.dwg,Model,12/05/2009 05:55:40 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\CUTO DE LA ESPERANZA-MORELIA\CUTO-IMSS.dwg,Model,13/05/2009 01:34:51 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\DONACIANO OJEDA-ZITACUARO\donaciano ojeda- zitacuaro-geo.dwg,Model,13/05/2009 03:54:51 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\EJIDO LAZARO CARDENAS-VILLA JIMENENEZ\Lazaro Cardenas-Jimenez-GEO.dwg,Model,13/05/2009 04:41:44 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EJIDO LAZARO CARDENAS-VILLA JIMENENEZ\Lazaro Cardenas-Jimenez-GEO.dwg,Model,13/05/2009 04:44:55 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL CAHULOTE DE SANTA ANA-TURICATO\09700801-EL CAHULOTE-TURICATO.dwg,Model,13/05/2009 05:33:40 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\EL CAPIRE DE LOMBARDIA-GABRIEL ZAMORA\EL CAPIRE-GABRIEL ZAMORA-geo.dwg,Model,13/05/2009 06:13:39 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL CARMEN ASTILLERO-EPITACIO HUERTA\el carmen astillero-EPITACIO HUERTA-imss.dwg,Model,14/05/2009 09:48:24 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\COLESIO-ECUANDUREO\COLESIO-ECUANDUREO-IMSS-GEO.dwg,Model,14/05/2009 10:12:03 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL CUAJILOTE-SAN LUCAS\cuadrilla de cuajilote-GEO.dwg,Model,14/05/2009 01:48:18 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL PLATANAL-VILLAMAR\EL PLATANAL-VILLAMAR-IMSS.dwg,Model,14/05/2009 04:47:30 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\EL PUEBLITO-PURUANDIRO\el pueblito-Puruandiro GEO.dwg,Model,14/05/2009 05:42:14 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL RODEO-COENEO\El Rodeo - COENEO GEO.dwg,Model,14/05/2009 06:11:53 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL SALTO-CHUCANDIRO\EL SALTO-CHUCANDIRO-IMSS.dwg,Model,15/05/2009 10:16:47 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EL TRIUNFO-INDAPARAPEO\EL TRIUNFO-INDAPARAPEO-IMSS.dwg,Model,15/05/2009 11:38:42 a.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\EX HACIENDA DE DOLORES-SUSUPUATO\EXHACIENDA DE DOLORES-SUSUAPUATO DE GUERRERO-IMSS.dwg,Model,15/05/2009 12:38:58 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\PARACHO-PARACHO\PARACHO-IMSS.dwg,Model,15/05/2009 01:06:43 p.m.,x,GEO.pc3,Carta,1:816.378,
E:\imss\Clasificacion de clinicas\HUAJUMBARO DE HIDALGO-HIDALGO\HUAJUMBARO-CD HIDALGO.dwg,Model,15/05/2009 04:01:57 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\JANIZTIO-PATCUARO\JANITZIO - PATZCUARO-GEO.dwg,Model,15/05/2009 05:56:58 p.m.,x,GEO.pc3,Carta,1:544.252,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,18/05/2009 12:46:11 p.m.,x,GEO.pc3,Carta,1:21.5687,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,18/05/2009 01:21:10 p.m.,x,GEO.pc3,Carta,1:21.5687,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,18/05/2009 01:21:18 p.m.,x,GEO.pc3,Carta,1:21.5687,
E:\imss\Clasificacion de clinicas\COMANJA-COENEO\comanja-coeneo-terreno (2).dwg,Model,18/05/2009 01:21:25 p.m.,x,GEO.pc3,Carta,1:21.5687,
